Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Real_value,Conference,Weight
24,"Nov 2, 2003",1999,6-3,Baron Davis,G,2003-2004,2004,4,New Orleans Hornets,0.5,East,215
24,"Nov 2, 2003",1998,6-10,Rashard Lewis,F,2003-2004,2004,5,Seattle SuperSonics,0.5,West,235
28,"Nov 19, 2012",2003,6-8,LeBron James,F,2012-2013,2013,9,Miami Heat,0.5,East,250
24,"Nov 19, 2012",2007,6-9,Kevin Durant,SF,2012-2013,2013,5,Oklahoma City Thunder,0.5,West,240
22,"Nov 19, 2006",2003,6-8,LeBron James,F,2006-2007,2007,3,Cleveland Cavaliers,0.5,East,250
28,"Nov 19, 2006",1998,7-0,Dirk Nowitzki,PF,2006-2007,2007,8,Dallas Mavericks,0.5,West,245
24,"Nov 19, 2000",1995,6-11,Kevin Garnett,PF,2000-2001,2001,5,Minnesota Timberwolves,1,NA,240
26,"Nov 19, 1995",1990,6-6,Cedric Ceballos,SF,1995-1996,1996,5,Los Angeles Lakers,1,NA,190
27,"Nov 19, 1989",1984,6-1,John Stockton,PG,1989-1990,1990,5,Utah Jazz,1,NA,170
29,"Nov 18, 2013",2003,6-8,LeBron James,F,2013-2014,2014,10,Miami Heat,0.5,East,250
24,"Nov 18, 2013",2009,6-10,Blake Griffin,PF,2013-2014,2014,4,Los Angeles Clippers,0.5,West,251
24,"Nov 18, 2013",2009,6-10,Blake Griffin,PF,2013-2014,2014,4,Los Angeles Clippers,0.5,West,251
22,"Nov 18, 2007",2004,6-11,Dwight Howard,C,2007-2008,2008,3,Orlando Magic,0.5,East,265
32,"Nov 18, 2007",1996,6-0,Allen Iverson,G,2007-2008,2008,11,Denver Nuggets,0.5,West,165
26,"Nov 18, 2001",1996,6-0,Allen Iverson,G,2001-2002,2002,5,Philadelphia Sixers,0.5,East,165
25,"Nov 18, 2001",1995,6-11,Kevin Garnett,PF,2001-2002,2002,6,Minnesota Timberwolves,0.5,West,240
28,"Nov 18, 1990",1983,6-7,Clyde Drexler,SG,1990-1991,1991,7,Portland Trail Blazers,1,NA,210
29,"Nov 18, 1984",1976,6-10,Moses Malone,C,1984-1985,1985,8,Philadelphia Sixers,1,NA,215
30,"Nov 17, 2014",2003,6-8,LeBron James,F,2014-2015,2015,11,Cleveland Cavaliers,0.5,East,250
